Id;Designator;Package;Quantity;Designation;Supplier and ref
1;U1;DIP1016W53P254L3468H457Q28N;1;ATmega328P-PU;
2;U4;REC001602AWPP5N00000;1;REC001602AWPP5N00000;
3;R6,R4,R3,R1,R2,R7,R5;RESC3216X60N;7;331;
4;U2;CD4543B_PW_16;1;CD4543BPWR;
5;U3;SC56-11EWA;1;SC56-11EWA;
6;D5,D2;LEDC2012X90N;2;Green LED;
7;D3,D1;LEDC2012X90N;2;Red LED;
8;D4;LEDC2012X90N;1;Yellow LED;
9;R9,R10,R8,R12,R11;RESC3216X60N;5;102;
10;R13;RESC3216X60N;1;103;
11;SW1;LL3301BF065QJ;1;Button;
12;J1;1981568-1;1;USB_B_Micro;
13;BZ1;SDC1610M5-01;1;SDC1610M5;
14;U5;XCVR_HC-SR04;1;HC-SR04;
